City Name,State,Latitude,Longitude,Elevation (m),Annual Rainfall (mm),Earthquake Frequency,Erosion Index,Mining Activity,Landslide Probability,Flood Probability,Temperature (°C)
Delhi,Delhi,8.315227,80.468496,288,3371.02,3,8.9,Yes,0.593,0.631,23.5
Bangalore,Karnataka,19.87174,95.270546,184,4396.91,5,9.5,No,0.222,0.652,28.6
Hyderabad,Telangana,24.100958,89.809878,625,4920.52,4,2.8,Yes,0.256,0.307,40.8
Ahmedabad,Gujarat,11.016705,93.425902,2684,4059.54,1,2.7,Yes,0.106,0.722,13.3
Chennai,Tamil Nadu,26.127444,72.825559,642,2214.96,1,4.4,No,0.203,0.319,44.6
Kolkata,West Bengal,23.55387,77.552878,317,571.55,4,3.6,No,0.236,0.12,40.2
Pune,Maharashtra,10.036159,83.13452,2168,4541.76,5,6.9,No,0.433,0.771,26.7
Jaipur,Rajasthan,13.938811,90.335795,626,4039.06,1,2.8,No,0.982,0.36,33.7
Surat,Gujarat,19.722893,72.156232,2412,2028.44,4,8.3,Yes,0.511,0.724,39.8
Lucknow,Uttar Pradesh,17.403145,84.934582,1813,4976.58,1,8.5,No,0.205,0.812,24.4
Kanpur,Uttar Pradesh,26.128798,74.415879,2112,4455.55,2,2.4,Yes,0.702,0.61,18
Nagpur,Maharashtra,22.92669,86.116968,910,3053.5,3,9.5,No,0.237,0.663,32.1
Visakhapatnam,Andhra Pradesh,25.709571,73.416137,553,1183.07,2,8.3,No,0.129,0.554,31.3
Bhopal,Madhya Pradesh,30.842324,86.036876,2714,3630.11,4,8.1,No,0.192,0.202,41
Patna,Bihar,16.830991,84.595071,745,4211.24,3,1.9,Yes,0.615,0.296,30.2
Vadodara,Gujarat,29.768281,87.991324,591,2470.92,1,4.4,No,0.181,0.622,22.5
Ghaziabad,Uttar Pradesh,30.641587,75.554256,455,2335.33,1,1.9,No,0.432,0.413,37
Ludhiana,Punjab,35.374969,96.263269,826,2602.99,1,4,No,0.922,0.452,17.6
Agra,Uttar Pradesh,32.739928,74.810328,1226,3433.95,1,8.1,No,0.961,0.36,19.6
Nashik,Maharashtra,8.892007,79.480441,2727,774.58,1,2.7,No,0.624,0.622,35.9
Faridabad,Haryana,9.876064,79.061217,1811,2039.2,5,5.5,No,0.49,0.969,14
Meerut,Uttar Pradesh,10.003297,78.030818,2557,2082.72,2,7.7,No,0.55,0.051,12
Rajkot,Gujarat,26.738574,83.053263,1976,1681.47,5,0.6,No,0.648,0.938,14
Kalyan,Maharashtra,11.5058,90.827744,422,1250.04,1,1.1,No,0.795,0.656,11.9
Vasai-Virar,Maharashtra,36.75613,87.088787,855,2599.36,4,3.9,Yes,0.662,0.788,14.6
Varanasi,Uttar Pradesh,15.302189,91.892862,1439,561.4,4,9.6,Yes,0.022,0.688,30.9
Srinagar,Jammu & Kashmir,12.571117,70.864599,2251,3572.79,3,9.4,Yes,0.423,0.47,40.5
Aurangabad,Maharashtra,34.362253,94.54785,1180,506.77,5,8.9,No,0.189,0.633,34.1
Dhanbad,Jharkhand,21.422199,91.988921,1796,4200.09,2,3,No,0.333,0.351,31.6
Mumbai,Maharashtra,9.569212,86.935821,220,3437.79,1,1.3,Yes,0.241,0.932,33.9
Delhi,Delhi,19.438361,80.963121,2359,3643.4,2,8.5,No,0.096,0.113,43.4
Bangalore,Karnataka,32.107016,78.704116,2155,2283.2,2,1.4,Yes,0.469,0.073,41.4
Hyderabad,Telangana,17.38967,90.654077,2258,2325.2,1,1.7,Yes,0.404,0.92,36.1
Ahmedabad,Gujarat,21.687,80.600825,2895,3393.55,3,1.7,No,0.156,0.011,43.3
Chennai,Tamil Nadu,8.240696,71.627101,2278,4869.06,2,6.7,Yes,0.947,0.15,38.6
Kolkata,West Bengal,12.847188,83.288457,49,1719.24,2,7.1,Yes,0.743,0.775,45
Pune,Maharashtra,15.527938,83.123216,832,2429.91,4,2.4,Yes,0.819,0.162,17.2
Jaipur,Rajasthan,32.167177,80.345874,2735,2640.66,4,8.8,Yes,0.204,0.402,32.8
Surat,Gujarat,34.075581,73.312733,2124,3133.41,3,8.1,No,0.69,0.391,42.7
Lucknow,Uttar Pradesh,18.297327,76.370091,2236,3677.55,3,6.3,Yes,0.466,0.526,35.8
Kanpur,Uttar Pradesh,24.791975,87.188356,1054,3858.99,2,1.9,No,0.758,0.082,39.9
Nagpur,Maharashtra,26.092025,92.100776,2445,2213.88,5,9.7,No,0.398,0.492,28
Visakhapatnam,Andhra Pradesh,20.412873,69.253801,555,2052.54,4,5.2,Yes,0.638,0.766,20
Bhopal,Madhya Pradesh,26.448332,93.524736,2176,3908.1,5,9.4,Yes,0.785,0.398,29.4
Patna,Bihar,8.563053,77.784449,2733,2031.97,1,8.6,Yes,0.544,0.714,41.8
Vadodara,Gujarat,33.720346,84.49133,2761,3659.6,1,5.5,Yes,0.014,0.626,42.1
Ghaziabad,Uttar Pradesh,10.933859,81.621428,1600,3648.2,2,2.3,Yes,0.178,0.013,42.1
Ludhiana,Punjab,10.094048,78.029182,2958,1333.56,1,5.7,Yes,0.33,0.291,41.4
Agra,Uttar Pradesh,22.910811,72.029454,1182,4546.47,4,10,No,0.377,0.502,17.9
Nashik,Maharashtra,33.352414,93.170844,729,4805.27,3,0.3,No,0.631,0.524,22.9
Faridabad,Haryana,14.425179,77.729385,1259,1799.24,3,0.2,Yes,0.931,0.266,26.2
Meerut,Uttar Pradesh,13.179999,93.14505,15,2050.03,1,7.1,Yes,0.326,0.682,36.8
Rajkot,Gujarat,9.358559,80.938326,2466,797.58,2,4.5,No,0.162,0.748,37
Kalyan,Maharashtra,27.439272,87.289277,709,4216.83,2,0.5,No,0.666,0.248,30.7
Vasai-Virar,Maharashtra,36.378783,84.824268,2974,3680.07,2,2.9,No,0.291,0.249,20.9
Varanasi,Uttar Pradesh,26.261112,84.099245,2231,3841.42,3,2.1,No,0.867,0.669,34.7
Srinagar,Jammu & Kashmir,24.068047,89.81133,672,2352.53,5,7.1,No,0.627,0.731,23.3
Aurangabad,Maharashtra,36.364007,84.367093,966,4159.63,4,1.3,No,0.238,0.915,21
Dhanbad,Jharkhand,23.70749,89.098429,449,4162.54,4,7.4,No,0.712,0.245,30
Mumbai,Maharashtra,33.626186,80.891927,297,524.22,2,4.5,No,0.704,0.282,23.7
Delhi,Delhi,29.864293,89.713575,642,3764.45,3,7.5,No,0.265,0.613,27
Bangalore,Karnataka,23.152673,84.584566,28,3321.5,4,3.9,No,0.013,0.447,26.5
Hyderabad,Telangana,20.549631,80.232341,2160,638.91,1,7.3,No,0.716,0.922,18.7
Ahmedabad,Gujarat,8.422037,92.866699,1222,1260.72,4,8.7,No,0.2,0.243,40.3
Chennai,Tamil Nadu,36.667584,91.988318,2465,3976.99,1,1.3,Yes,0.664,0.242,40.9
Kolkata,West Bengal,29.491571,77.784504,2826,3265.59,4,7.4,No,0.038,0.574,41.4
Pune,Maharashtra,23.487396,88.090675,1869,2019.42,5,3,No,0.249,0.049,26
Jaipur,Rajasthan,30.609246,95.114935,455,4884.24,1,8.7,No,0.973,0.07,13.1
Surat,Gujarat,30.506322,88.562283,2662,4933.2,2,1.8,Yes,0.31,0.73,26
Lucknow,Uttar Pradesh,19.854011,78.664217,1927,1183.63,3,0.2,Yes,0.027,0.925,15.3
Kanpur,Uttar Pradesh,34.834694,73.888131,2182,3822.69,1,5.9,No,0.684,0.085,36.8
Nagpur,Maharashtra,12.200352,96.336761,2113,3598.24,1,2.5,Yes,0.775,0.664,26.1
Visakhapatnam,Andhra Pradesh,12.494592,69.465242,1675,2176.17,4,9.3,No,0.354,0.327,44.2
Bhopal,Madhya Pradesh,28.472812,70.112242,456,3966.85,2,4.1,Yes,0.383,0.848,19.7
Patna,Bihar,18.509147,80.119748,2906,4093.77,5,4.4,Yes,0.157,0.348,40.7
Vadodara,Gujarat,12.327525,75.676199,8,2741.83,3,8.9,No,0.728,0.47,38.6
Ghaziabad,Uttar Pradesh,14.312388,75.929622,250,2260.64,5,1.3,Yes,0.826,0.859,16.2
Ludhiana,Punjab,8.224242,69.345275,1719,3471.4,5,1.7,No,0.897,0.828,33.7
Agra,Uttar Pradesh,33.017231,92.500717,1411,2401.87,1,8.8,Yes,0.783,0.974,10.2
Nashik,Maharashtra,24.335255,72.461431,1745,4624.61,2,8.4,No,0.767,0.874,16.2
Faridabad,Haryana,11.578341,73.328554,1779,3676.38,2,0,Yes,0.951,0.859,15.7
Meerut,Uttar Pradesh,11.124544,88.62261,1610,759.56,5,9,No,0.645,0.304,14.3
Rajkot,Gujarat,24.402543,75.403718,1997,3081.27,3,2.6,No,0.328,0.189,23.6
Kalyan,Maharashtra,25.032011,73.022746,2404,1857.75,2,9.2,No,0.066,0.207,12.4
Vasai-Virar,Maharashtra,33.915061,71.325861,644,2155.72,4,8.1,No,0.562,0.451,16.7
Varanasi,Uttar Pradesh,35.940011,93.684107,2823,4108.66,2,7.3,No,0.273,0.981,20.7
Srinagar,Jammu & Kashmir,13.948602,68.366418,2491,2649.76,2,7.3,No,0.333,0.015,12.3
Aurangabad,Maharashtra,28.750308,81.174197,2387,4066.61,1,4.6,Yes,0.592,0.091,32.6
Dhanbad,Jharkhand,34.423512,76.393325,2803,2603.57,2,5.2,No,0.163,0.545,39.2
Mumbai,Maharashtra,22.20641,68.17402,2384,1632.98,4,2,No,0.043,0.847,25
Delhi,Delhi,34.891658,76.363831,210,1824.19,2,1.1,Yes,0.842,0.806,10.1
Bangalore,Karnataka,21.576544,96.793527,467,3013.26,5,5.3,Yes,0.797,0.157,18.4
Hyderabad,Telangana,12.637777,85.033414,1018,4618.57,2,8.8,Yes,0.143,0.985,15.9
Ahmedabad,Gujarat,27.506168,94.539218,1272,2967.26,1,4.8,No,0.534,0.223,25.9
Chennai,Tamil Nadu,28.210793,91.916503,1130,3143.73,1,0.6,Yes,0.024,0.527,19.6
Kolkata,West Bengal,17.259464,79.135006,2041,1071.75,2,3.9,Yes,0.332,0.49,18.9
Pune,Maharashtra,27.920742,76.164272,14,4449.98,3,6.7,Yes,0.004,0.713,17
Jaipur,Rajasthan,30.802888,71.399963,355,4646.38,4,6.3,Yes,0.208,0.471,33
Surat,Gujarat,31.366814,95.502131,977,3896.81,5,8.4,No,0.317,0.311,27.2
Lucknow,Uttar Pradesh,29.977039,94.339333,2074,3342.25,1,8.7,No,0.635,0.546,30.9
Kanpur,Uttar Pradesh,35.87337,77.905206,307,3489.66,5,3.2,No,0.941,0.945,42.1
Nagpur,Maharashtra,18.746069,68.447149,162,1049.58,3,10,Yes,0.024,0.646,13.4
Visakhapatnam,Andhra Pradesh,13.919444,70.586994,187,2544.47,2,4.2,Yes,0.569,0.874,20.4
Bhopal,Madhya Pradesh,36.13248,70.25534,2728,4724.05,4,9.1,Yes,0.132,0.912,44.9
Patna,Bihar,29.808012,81.611545,2881,1219.45,3,2.3,No,0.544,0.56,15.1
Vadodara,Gujarat,8.493466,72.603176,1481,4548.81,3,8.1,No,0.139,0.561,40.7
Ghaziabad,Uttar Pradesh,32.80339,85.918328,564,2669.21,3,0.1,No,0.874,0.9,10.9
Ludhiana,Punjab,28.745409,78.728277,2495,2205.74,1,1.7,Yes,0.209,0.127,43
Agra,Uttar Pradesh,23.554914,81.287313,1970,1457.26,4,3.3,No,0.189,0.464,41.1
Nashik,Maharashtra,35.371275,92.031078,264,2560.83,2,0.2,No,0.572,0.969,15.3
Faridabad,Haryana,20.254079,69.8529,1373,3180.77,5,9,Yes,0.1,0.474,17.5
Meerut,Uttar Pradesh,36.973335,85.681921,2296,4611.01,1,9.3,Yes,0.295,0.027,37.9
Rajkot,Gujarat,8.911484,82.373451,1725,2503.52,1,7.4,No,0.879,0.683,33.6
Kalyan,Maharashtra,33.818564,83.474513,1890,3197.25,5,4.8,Yes,0.409,0.785,32.2
Vasai-Virar,Maharashtra,24.901769,73.426062,2335,3448.18,3,8.6,No,0.56,0.692,36.4
Varanasi,Uttar Pradesh,15.50461,94.228521,1684,1929.32,1,5.7,No,0.642,0.445,44.9
Srinagar,Jammu & Kashmir,23.194489,87.847678,224,3288.57,3,6.9,Yes,0.06,0.642,29.8
Aurangabad,Maharashtra,15.125001,81.116051,1012,4570.06,1,3.5,No,0.058,0.677,36.6
Dhanbad,Jharkhand,22.476277,72.540194,1380,1082.67,4,9.1,Yes,0.993,0.56,26.6
Mumbai,Maharashtra,19.940027,89.906406,1571,4431.74,2,5,No,0.916,0.664,22.6
Delhi,Delhi,10.793908,80.071761,2923,2088.79,2,1,No,0.619,0.789,37
Bangalore,Karnataka,10.194725,70.064797,1450,3527.78,5,6.8,Yes,0.709,0.717,36.4
Hyderabad,Telangana,8.344132,73.86939,2436,2584.33,5,2.8,No,0.797,0.332,35.1
Ahmedabad,Gujarat,8.3673,83.889555,344,2038.3,2,4.6,No,0.007,0.402,23.5
Chennai,Tamil Nadu,30.21545,90.256048,1723,2300.35,2,0.2,Yes,0.351,0.411,44.9
Kolkata,West Bengal,24.736356,77.148343,526,3199.09,3,4.2,Yes,0.202,0.185,23.6
Pune,Maharashtra,16.790987,96.367652,944,2581.78,2,5.1,No,0.663,0.836,30.4
Jaipur,Rajasthan,29.125455,70.613129,152,2730.4,4,1.1,No,0.366,0.882,44.2
Surat,Gujarat,32.800495,70.020296,2961,4096.67,2,5.4,No,0.575,0.645,31.8
Lucknow,Uttar Pradesh,14.436147,88.403272,1326,3155.5,1,6.5,Yes,0.576,0.32,22
Kanpur,Uttar Pradesh,10.503439,74.076138,559,2773.85,5,6.7,Yes,0.2,0.189,27.7
Nagpur,Maharashtra,11.574696,71.77045,2111,3836.14,3,9.7,No,0.278,0.258,26.5
Visakhapatnam,Andhra Pradesh,35.653757,68.865408,1429,2721.69,1,6.1,Yes,0.814,0.98,39
Bhopal,Madhya Pradesh,35.356558,73.053833,1610,3144.21,4,3.3,Yes,0.252,0.314,13.5
Patna,Bihar,21.252887,90.69346,2439,2269.75,2,9.9,No,0.309,0.252,18.1
Vadodara,Gujarat,16.06676,68.603494,2317,1552.92,2,2.6,Yes,0.787,0.643,30
Ghaziabad,Uttar Pradesh,35.659065,87.327271,402,1890.32,5,5.1,No,0.45,0.947,29
Ludhiana,Punjab,26.161249,75.559913,1444,3647.76,3,6.4,Yes,0.632,0.38,14.9
Agra,Uttar Pradesh,27.467569,80.717639,1929,1065.46,4,1.4,Yes,0.622,0.997,42.1
Nashik,Maharashtra,8.453193,90.73157,1516,4347.55,1,9.7,Yes,0.23,0.478,15.6
Faridabad,Haryana,19.065306,81.741861,548,3181.65,3,0.2,No,0.41,0.897,27.9
Meerut,Uttar Pradesh,34.205548,72.831038,1540,4962.25,1,1.6,No,0.969,0.453,19.1
Rajkot,Gujarat,35.806753,69.653998,1864,3153.13,5,9.2,No,0.754,0.188,22
Kalyan,Maharashtra,19.003975,69.491164,530,2540.37,3,7.4,Yes,0.681,0.694,40.2
Vasai-Virar,Maharashtra,15.451918,93.219456,2198,3734.84,4,2.4,Yes,0.439,0.496,25.5
Varanasi,Uttar Pradesh,14.988477,94.670174,2204,4185.97,3,1.3,No,0.886,0.661,37.4
Srinagar,Jammu & Kashmir,35.392776,78.915856,711,4375.7,2,4.8,No,0.833,0.026,20.6
Aurangabad,Maharashtra,34.931416,83.678381,134,2396.19,3,0.5,No,0.526,0.565,37.7
Dhanbad,Jharkhand,26.625539,69.559389,1294,2264.5,4,5.9,Yes,0.657,0.88,23.8
Mumbai,Maharashtra,34.171912,79.816957,2750,2492.87,4,9.6,Yes,0.885,0.203,36.7
Delhi,Delhi,19.6057,84.166285,749,2797.64,2,4.6,No,0.256,0.448,42.3
Bangalore,Karnataka,33.036426,74.479028,1602,4307.36,5,9.5,No,0.595,0.702,43
Hyderabad,Telangana,36.212832,88.844739,1890,2024.8,1,5.8,Yes,0.625,0.115,19.2
Ahmedabad,Gujarat,28.405314,78.28647,28,4661.01,2,2.8,No,0.097,0.88,42.3
Chennai,Tamil Nadu,36.550927,89.904506,2489,1190.5,5,2.4,Yes,0.366,0.35,16.9
Kolkata,West Bengal,10.660781,73.988551,913,1922.8,3,3.3,Yes,0.806,0.33,37
Pune,Maharashtra,32.626868,91.805171,2249,3758.45,5,1.2,Yes,0.889,0.445,11.8
Jaipur,Rajasthan,21.28665,86.580202,1878,1492.26,3,6.6,No,0.086,0.789,11.8
Surat,Gujarat,28.49693,68.587775,773,1844.39,2,0.8,No,0.087,0.342,33
Lucknow,Uttar Pradesh,8.768223,88.873771,1597,1994.34,1,7.4,No,0.682,0.371,20.6
Kanpur,Uttar Pradesh,15.188937,70.008951,2166,1470.77,2,1.5,Yes,0.687,0.604,37.3
Nagpur,Maharashtra,21.937551,89.770652,1382,2568.81,4,5.2,No,0.994,0.805,17
Visakhapatnam,Andhra Pradesh,8.511874,68.834614,2035,3466.39,3,5.7,No,0.749,0.327,16.4
Bhopal,Madhya Pradesh,24.104002,94.048936,1746,1806.54,2,0,No,0.518,0.285,30.3
Patna,Bihar,34.800204,74.011241,1654,1968.96,2,2.5,No,0.59,0.611,39.5
Vadodara,Gujarat,21.513077,79.148806,2390,1230.61,4,8.8,Yes,0.347,0.473,35.6
Ghaziabad,Uttar Pradesh,30.532857,75.649573,775,3795.33,3,6.2,No,0.752,0.984,30.2
Ludhiana,Punjab,31.592432,86.231105,340,2612.33,2,9.4,Yes,0.163,0.373,17.3
Agra,Uttar Pradesh,22.97677,87.749059,343,536.87,5,4.7,Yes,0.659,0.522,15.1
Nashik,Maharashtra,23.346651,91.271976,259,2229.63,2,0.6,No,0.516,0.009,20.9
Faridabad,Haryana,36.369543,79.182222,2705,4835,4,1.7,No,0.906,0.602,19.9
Meerut,Uttar Pradesh,19.545155,84.975839,323,3548.53,1,2,No,0.345,0.611,40.8
Rajkot,Gujarat,17.874004,86.908801,1648,1326.55,4,1.7,No,0.478,0.904,22.7
Kalyan,Maharashtra,28.799177,77.491301,1658,3835.25,5,4.5,No,0.546,0.23,44.2
Vasai-Virar,Maharashtra,36.586839,96.815271,1663,1699.19,1,4.5,No,0.586,0.767,39
Varanasi,Uttar Pradesh,21.97031,87.261429,785,872.86,1,6.6,No,0.773,0.483,10.2
Srinagar,Jammu & Kashmir,9.12905,75.375947,2410,3983.32,1,9.3,Yes,0.758,0.847,12.3
Aurangabad,Maharashtra,8.019751,75.376684,1529,615.82,1,0.5,Yes,0.565,0.243,27.8
Dhanbad,Jharkhand,24.376007,82.26842,609,654.42,5,4,Yes,0.852,0.547,32.3
Mumbai,Maharashtra,35.285415,72.184837,622,4084.89,4,5.8,Yes,0.488,0.978,20.2
Delhi,Delhi,11.341055,94.300817,2629,1466.92,1,9,No,0.935,0.264,24.6
Bangalore,Karnataka,13.633684,86.897246,1052,4180.01,4,6.8,Yes,0.679,0.194,31.9
Hyderabad,Telangana,29.81596,81.613032,223,4885.49,2,9.5,Yes,0.364,0.544,36.9
Ahmedabad,Gujarat,19.919042,88.525656,566,2129.2,4,2.3,No,0.023,0.428,22.1
Chennai,Tamil Nadu,33.764436,85.696769,978,2678.72,5,9.5,No,0.812,0.675,25.7
Kolkata,West Bengal,22.713021,90.221025,1875,4020.37,5,1.2,Yes,0.839,0.065,36.8
Pune,Maharashtra,10.016688,71.239271,2154,4010.65,4,1.8,Yes,0.247,0.595,31.4
Jaipur,Rajasthan,27.419989,78.40709,2955,4499.8,4,1.4,No,0.596,0.365,32.9
Surat,Gujarat,24.897061,90.133259,570,1618.21,4,9.7,Yes,0.968,0.869,23.9
Lucknow,Uttar Pradesh,18.479638,86.836687,2269,2986.9,5,6,Yes,0.246,0.565,18.2
Kanpur,Uttar Pradesh,20.934182,92.096909,2222,2429.19,2,8.1,No,0.486,0.367,22.8
Nagpur,Maharashtra,34.919722,75.313123,1517,4869.97,4,2,Yes,0.306,0.747,41.9
Visakhapatnam,Andhra Pradesh,16.642807,76.981708,2369,848.32,1,7,Yes,0.438,0.604,30
Bhopal,Madhya Pradesh,17.685713,68.050037,2258,3927.94,3,4.3,Yes,0.458,0.219,14
Patna,Bihar,36.831731,72.588095,1998,863.21,4,8.7,No,0.003,0.389,23.1
Vadodara,Gujarat,25.396115,91.303277,479,1721.9,5,1.1,No,0.11,0.06,21.3
Ghaziabad,Uttar Pradesh,36.610033,79.130358,2070,2333.76,5,4,No,0.993,0.724,12.5
Ludhiana,Punjab,32.11613,73.282007,2234,1155.56,3,5,No,0.737,0.007,35.1
Agra,Uttar Pradesh,22.46086,96.753873,2064,1051.93,2,6.4,Yes,0.279,0.804,44.8
Nashik,Maharashtra,34.160062,94.657828,1996,674.71,4,7.8,Yes,0.197,0.071,38.9
Faridabad,Haryana,28.778125,75.569285,154,1902.37,2,7.4,No,0.748,0.099,36.8
Meerut,Uttar Pradesh,35.862313,96.725306,907,4699.7,2,3.7,No,0.239,0.934,32.2
Rajkot,Gujarat,21.535373,68.346244,2434,1025.21,2,8.4,No,0.864,0.48,20.7
Kalyan,Maharashtra,26.016826,92.786756,1559,1988.58,1,7,Yes,0.637,0.615,36.9
Vasai-Virar,Maharashtra,23.033691,89.224356,676,1625.43,2,1.6,Yes,0.946,0.665,23.6
Varanasi,Uttar Pradesh,22.336997,88.605902,744,981.98,3,6.4,Yes,0.4,0.723,36.5
Srinagar,Jammu & Kashmir,35.279893,75.620988,1917,1675.22,5,4.5,Yes,0.356,0.624,32.5
Aurangabad,Maharashtra,32.275352,84.638664,1055,2897.21,4,7.4,No,0.875,0.541,31.5
Dhanbad,Jharkhand,13.819119,84.558838,2847,4242.98,3,0.2,No,0.773,0.033,42.3
Mumbai,Maharashtra,27.817466,74.867369,2660,2590.92,1,6.8,Yes,0.829,0.599,35.9
Delhi,Delhi,26.325824,94.375023,874,2678.01,5,2.4,Yes,0.981,0.95,14.4
Bangalore,Karnataka,8.796914,77.605363,1911,1344.74,5,7.6,Yes,0.719,0.266,37.1
Hyderabad,Telangana,25.145195,76.947505,667,868.19,1,9.5,No,0.802,0.165,22.6
Ahmedabad,Gujarat,18.847116,88.303029,1388,4559.38,5,1.5,No,0.326,0.191,22
Chennai,Tamil Nadu,11.601351,73.872573,489,729.84,2,4.9,Yes,0.199,0.174,41.5
Kolkata,West Bengal,22.263433,96.786235,212,1187.4,5,5.4,Yes,0.266,0.91,38.4
Pune,Maharashtra,28.066576,90.132965,13,1571.89,3,9.7,No,0.901,0.666,21.4
Jaipur,Rajasthan,24.89148,90.480895,2409,603.04,5,8.3,Yes,0.435,0.287,25.3
Surat,Gujarat,12.705432,69.919676,2057,4360.33,2,3.7,Yes,0.08,0.33,29.4
Lucknow,Uttar Pradesh,29.95611,89.192191,2678,4787.07,2,4.2,No,0.6,0.988,10.6
Kanpur,Uttar Pradesh,27.026164,90.545664,165,3772.4,5,3.2,Yes,0.526,0.834,14.3
Nagpur,Maharashtra,15.005892,79.147655,2608,648.14,4,3.9,Yes,0.334,0.548,12.9
Visakhapatnam,Andhra Pradesh,9.234091,93.079441,740,1750.81,4,9,No,0.906,0.607,44.2
Bhopal,Madhya Pradesh,20.826427,91.500334,2645,4274.66,4,3.9,Yes,0.683,0.377,13.1
Patna,Bihar,34.223055,72.861089,1759,2239.63,5,9.2,Yes,0.734,0.66,24
Vadodara,Gujarat,29.89552,82.632875,2893,3495.79,5,0.4,No,0.359,0.43,26.3
Ghaziabad,Uttar Pradesh,11.093255,86.767704,349,2922.41,2,7,Yes,0.368,0.146,27.1
Ludhiana,Punjab,30.212728,80.941766,94,894.25,4,9,Yes,0.868,0.126,16
Agra,Uttar Pradesh,31.026176,93.05681,1198,3996.04,2,6,Yes,0.711,0.978,26.9
Nashik,Maharashtra,23.905049,88.430729,229,1198.1,1,1.5,No,0.921,0.839,22.5
Faridabad,Haryana,31.189087,81.181717,255,2000.17,4,3.5,Yes,0.314,0.368,25.9
Meerut,Uttar Pradesh,25.009122,74.319456,2420,3340.46,1,9.7,Yes,0.203,0.777,18
Rajkot,Gujarat,23.236816,94.702839,720,2777.38,4,7.9,Yes,0.194,0.077,31.8
Kalyan,Maharashtra,27.743052,77.016462,2162,4366.69,4,0.3,No,0.078,0.549,33
Vasai-Virar,Maharashtra,11.36863,75.587417,1376,2734.3,3,2,Yes,0.284,0.982,35.5
Varanasi,Uttar Pradesh,35.117019,81.949178,1891,2359.57,1,1.5,No,0.267,0.763,40.9
Srinagar,Jammu & Kashmir,30.031962,70.443466,1850,3005.99,1,1.7,No,0.124,0.534,19.3
Aurangabad,Maharashtra,27.928972,93.241786,1862,3548.82,5,8.4,Yes,0.95,0.535,15.3
Dhanbad,Jharkhand,22.732884,91.49377,2839,1329.29,4,8.7,No,0.821,0.594,43.1
Mumbai,Maharashtra,36.969647,76.443246,173,1591.69,1,6.7,No,0.829,0.963,39
Delhi,Delhi,20.463637,71.197514,462,3723.74,2,5.4,No,0.217,0.929,18.8
Bangalore,Karnataka,8.292148,92.489709,2797,4764.97,1,3.4,Yes,0.048,0.895,36
Hyderabad,Telangana,16.472133,68.619505,1966,2685.36,4,10,No,0.682,0.507,40.2
Ahmedabad,Gujarat,35.844873,87.648403,2759,2951.76,1,0.7,Yes,0.74,0.431,22
Chennai,Tamil Nadu,18.545355,92.892024,2691,3754.66,4,2.8,No,0.563,0.28,22
Kolkata,West Bengal,36.264279,89.688566,959,4106.61,4,6.6,No,0.52,0.091,15.6
Pune,Maharashtra,12.331877,80.95762,483,3558.73,2,5.3,No,0.511,0.836,35.3
Jaipur,Rajasthan,30.400617,89.762836,2753,3522.81,5,4.5,No,0.711,0.373,32.7
Surat,Gujarat,35.038514,96.579771,2285,2671.36,4,3.4,No,0.928,0.633,42.9
Lucknow,Uttar Pradesh,30.497493,75.41234,1419,1445.4,5,6.9,No,0.804,0.939,21.9
Kanpur,Uttar Pradesh,18.019215,73.330607,1123,4764.68,1,3.2,Yes,0.456,0.789,19
Nagpur,Maharashtra,20.752864,94.839572,2343,4684.64,5,3.5,Yes,0.809,0.081,11.9
Visakhapatnam,Andhra Pradesh,29.444508,91.56671,2737,3659.05,3,0.6,No,0.522,0.721,14.2
Bhopal,Madhya Pradesh,22.745893,91.461762,1093,3342.95,2,0.9,No,0.755,0.627,37.7
Patna,Bihar,34.653777,96.160645,796,1074.22,4,1,Yes,0.185,0.398,30.3
Vadodara,Gujarat,30.674027,96.093271,2263,2404.62,1,6.8,No,0.929,0.215,37.9
Ghaziabad,Uttar Pradesh,35.19684,80.346954,493,1744.26,3,7.5,No,0.092,0.13,27.4
Ludhiana,Punjab,32.095221,79.239635,2512,4935.91,3,8.5,Yes,0.403,0.629,31.8
Agra,Uttar Pradesh,15.700889,92.749767,62,4347.89,2,4.2,Yes,0.193,0.793,32.4
Nashik,Maharashtra,13.497753,87.273968,2093,4696.38,3,2.5,No,0.563,0.176,22.4
Faridabad,Haryana,27.90227,94.975952,824,3910.76,4,7.9,Yes,0.95,0.61,12.8
Meerut,Uttar Pradesh,18.875831,92.284571,303,1619.37,4,2.5,No,0.547,0.572,43.6
Rajkot,Gujarat,33.387767,91.7582,2304,3884.78,1,8.6,Yes,0.272,0.247,29.2
Kalyan,Maharashtra,28.486496,84.460898,2709,4926.97,3,5.7,Yes,0.78,0.927,12.3
Vasai-Virar,Maharashtra,9.275474,96.046745,1785,3454.91,5,5,No,0.614,0.898,17.9
Varanasi,Uttar Pradesh,24.336451,95.401567,2818,3160.96,4,0.7,Yes,0.005,0.527,32.1
Srinagar,Jammu & Kashmir,20.19509,91.136105,513,1598.45,5,5.5,Yes,0.435,0.383,17
Aurangabad,Maharashtra,21.728267,69.62818,2271,986.01,1,0.4,Yes,0.486,0.184,29.9
Dhanbad,Jharkhand,18.591153,94.543485,406,1161,1,8.8,No,0.468,0.578,31.3
Mumbai,Maharashtra,23.161045,89.487657,1056,800.71,3,8.7,No,0.158,0.793,29
